Date,Value
13/02/2020 19:00:00,204.59
13/02/2020 20:00:00,233.65
13/02/2020 21:00:00,233.72
13/02/2020 22:00:00,233.59
13/02/2020 23:00:00,229.17
14/02/2020 00:00:00,222.11
14/02/2020 01:00:00,220.06
14/02/2020 02:00:00,220.06
14/02/2020 03:00:00,220.06
14/02/2020 04:00:00,220.06
14/02/2020 05:00:00,220.06
14/02/2020 06:00:00,220.06
14/02/2020 07:00:00,220.06
14/02/2020 08:00:00,220.06
14/02/2020 09:00:00,220.06
14/02/2020 10:00:00,209.58
14/02/2020 11:00:00,208.89
14/02/2020 12:00:00,375.82
14/02/2020 13:00:00,422.90
14/02/2020 14:00:00,421.16
14/02/2020 15:00:00,421.04
14/02/2020 16:00:00,422.63
14/02/2020 17:00:00,419.97
14/02/2020 18:00:00,419.75
14/02/2020 19:00:00,426.10
14/02/2020 20:00:00,435.66
14/02/2020 21:00:00,437.61
14/02/2020 22:00:00,435.74
14/02/2020 23:00:00,432.94
15/02/2020 00:00:00,427.94
15/02/2020 01:00:00,418.92
15/02/2020 02:00:00,408.36
15/02/2020 03:00:00,400.06
15/02/2020 04:00:00,396.68
15/02/2020 05:00:00,394.85
15/02/2020 06:00:00,395.06
15/02/2020 07:00:00,397.93
15/02/2020 08:00:00,401.91
15/02/2020 09:00:00,409.96
15/02/2020 10:00:00,418.66
15/02/2020 11:00:00,424.75
15/02/2020 12:00:00,425.13
15/02/2020 13:00:00,417.82
15/02/2020 14:00:00,413.69
15/02/2020 15:00:00,413.28
15/02/2020 16:00:00,413.28
15/02/2020 17:00:00,336.85
15/02/2020 18:00:00,406.13
15/02/2020 19:00:00,410.17
15/02/2020 20:00:00,426.70
15/02/2020 21:00:00,431.49
15/02/2020 22:00:00,431.55
15/02/2020 23:00:00,431.36
16/02/2020 00:00:00,431.35
16/02/2020 01:00:00,431.35
16/02/2020 02:00:00,431.35
16/02/2020 03:00:00,431.35
16/02/2020 04:00:00,431.35
16/02/2020 05:00:00,431.35
16/02/2020 06:00:00,431.35
16/02/2020 07:00:00,431.35
16/02/2020 08:00:00,431.35
16/02/2020 09:00:00,431.35
16/02/2020 10:00:00,431.35
16/02/2020 11:00:00,431.35
16/02/2020 12:00:00,423.22
16/02/2020 13:00:00,419.07
16/02/2020 14:00:00,397.43
16/02/2020 15:00:00,392.50
16/02/2020 16:00:00,392.86
16/02/2020 17:00:00,390.74
16/02/2020 18:00:00,394.74
16/02/2020 19:00:00,404.73
16/02/2020 20:00:00,426.38
16/02/2020 21:00:00,433.92
16/02/2020 22:00:00,432.69
16/02/2020 23:00:00,430.30
17/02/2020 00:00:00,427.26
17/02/2020 01:00:00,417.55
17/02/2020 02:00:00,405.73
17/02/2020 03:00:00,399.89
17/02/2020 04:00:00,396.37
17/02/2020 05:00:00,394.39
17/02/2020 06:00:00,395.11
17/02/2020 07:00:00,398.90
17/02/2020 08:00:00,402.74
17/02/2020 09:00:00,416.28
17/02/2020 10:00:00,414.31
17/02/2020 11:00:00,412.42
17/02/2020 12:00:00,400.64
17/02/2020 13:00:00,394.75
17/02/2020 14:00:00,390.48
17/02/2020 15:00:00,388.26
17/02/2020 16:00:00,383.93
17/02/2020 17:00:00,380.13
17/02/2020 18:00:00,385.79
17/02/2020 19:00:00,398.46
17/02/2020 20:00:00,422.85
17/02/2020 21:00:00,427.75
17/02/2020 22:00:00,425.41
17/02/2020 23:00:00,422.85
18/02/2020 00:00:00,413.60
18/02/2020 01:00:00,395.93
18/02/2020 02:00:00,375.02
18/02/2020 03:00:00,362.84
18/02/2020 04:00:00,354.74
18/02/2020 05:00:00,348.59
18/02/2020 06:00:00,350.28
18/02/2020 07:00:00,352.79
18/02/2020 08:00:00,362.24
18/02/2020 09:00:00,383.80
18/02/2020 10:00:00,399.58
18/02/2020 11:00:00,392.05
18/02/2020 12:00:00,382.98
18/02/2020 13:00:00,366.11
18/02/2020 14:00:00,361.31
18/02/2020 15:00:00,357.84
18/02/2020 16:00:00,358.45
18/02/2020 17:00:00,358.49
18/02/2020 18:00:00,361.82
18/02/2020 19:00:00,376.29
18/02/2020 20:00:00,404.80
18/02/2020 21:00:00,419.61
18/02/2020 22:00:00,419.16
18/02/2020 23:00:00,416.17
19/02/2020 00:00:00,405.16
19/02/2020 01:00:00,388.27
19/02/2020 02:00:00,369.54
19/02/2020 03:00:00,353.08
19/02/2020 04:00:00,346.58
19/02/2020 05:00:00,342.15
19/02/2020 06:00:00,339.36
19/02/2020 07:00:00,345.26
19/02/2020 08:00:00,356.33
19/02/2020 09:00:00,376.13
19/02/2020 10:00:00,394.17
19/02/2020 11:00:00,391.60
19/02/2020 12:00:00,380.25
19/02/2020 13:00:00,367.67
19/02/2020 14:00:00,359.05
19/02/2020 15:00:00,354.72
19/02/2020 16:00:00,346.04
19/02/2020 17:00:00,352.27
19/02/2020 18:00:00,361.76
19/02/2020 19:00:00,375.29
19/02/2020 20:00:00,399.36
19/02/2020 21:00:00,408.17
19/02/2020 22:00:00,407.06
19/02/2020 23:00:00,404.62
20/02/2020 00:00:00,394.13
20/02/2020 01:00:00,373.79
20/02/2020 02:00:00,351.64
20/02/2020 03:00:00,340.13
20/02/2020 04:00:00,333.59
20/02/2020 05:00:00,330.28
20/02/2020 06:00:00,329.27
20/02/2020 07:00:00,336.85
20/02/2020 08:00:00,345.65
20/02/2020 09:00:00,368.13
20/02/2020 10:00:00,386.16
20/02/2020 11:00:00,388.98
20/02/2020 12:00:00,377.15
20/02/2020 13:00:00,372.48
20/02/2020 14:00:00,366.54
20/02/2020 15:00:00,364.40
20/02/2020 16:00:00,362.78
20/02/2020 17:00:00,363.35
20/02/2020 18:00:00,370.82
20/02/2020 19:00:00,383.04
20/02/2020 20:00:00,403.53
20/02/2020 21:00:00,409.17
20/02/2020 22:00:00,407.56
20/02/2020 23:00:00,404.26
21/02/2020 00:00:00,393.92
21/02/2020 01:00:00,374.54
21/02/2020 02:00:00,355.32
21/02/2020 03:00:00,342.72
21/02/2020 04:00:00,336.15
21/02/2020 05:00:00,330.13
21/02/2020 06:00:00,329.64
21/02/2020 07:00:00,333.99
