Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
1/10/2011,0.965849858,1,1,0,0,1,3.49141805,0.44,0.085184,12.49,3.31,2.55025,0.006075732,0,1978.614,2019.9798,2061.7149
1/11/2011,0.970642056,1,1,0,0,0.965849858,3.534119409,0.3,0.027,13.66,3.01,1.34689,0.030498006,0,2027.2857,2061.7149,2150.8303
1/12/2011,0.950674824,1,1,0,0,0.970642056,3.695943723,1.17,1.601613,15.57,1.84,0.97969,9.15E-05,0,1976.3297,2150.8303,2128.7587
1/13/2011,0.961823283,1,1,0,0,0.950674824,3.945883931,1.91,6.967871,15.18,-0.07,0.70225,0.0614656,0,2029.2833,2128.7587,2226.7445
1/14/2011,0.945372575,1,1,0,0,0.961823283,3.896151948,-0.39,-0.059319,10.16,0.32,0.17424,0.000213814,0,1930.1676,2226.7445,2194.1588
1/15/2011,0.942252607,1,1,0,0,0.945372575,3.18747549,-5.02,-126.506008,11.93,5.34,5.88289,0.083181696,0,1938.7745,2194.1588,2097.367
1/16/2011,1,1,1,0,0,0.942252607,3.453983208,1.77,5.545233,10.38,3.57,4.51584,3.11E-05,0,2019.9798,2097.367,2171.7733
1/17/2011,0.965849858,1,1,0,0,1,3.221800739,-1.55,-3.723875,10.48,5.12,3.69664,0.296614506,0,2061.7149,2171.7733,2133.7157
1/18/2011,0.970642056,1,1,1,0,0.965849858,3.237282811,0.1,0.001,11.41,5.02,3.45744,0.296614506,0,2150.8303,2133.7157,2146.8098
1/19/2011,0.950674824,1,1,0,14.20043423,0.970642056,3.377869151,0.93,0.804357,12.71,4.09,3.42225,0.029472955,0,2128.7587,2146.8098,2224.5431
1/20/2011,0.961823283,1,1,0,0,0.950674824,3.565108694,1.3,2.197,12.55,2.79,1.16964,0.021367506,0,2226.7445,2224.5431,2244.3434
1/21/2011,0.945372575,1,1,0,0,0.961823283,3.542597917,-0.16,-0.004096,12.96,2.95,1.23904,0.032085427,0,2194.1588,2244.3434,2203.5763
1/22/2011,0.942252607,1,1,0,0,0.945372575,3.6,0.41,0.068921,14.36,2.54,0.85264,0.022173739,0,2097.367,2203.5763,2245.5996
1/23/2011,1,1,1,0,0,0.942252607,3.789459064,1.4,2.744,11.23,1.14,1.58404,0.0083521,0,2171.7733,2245.5996,2309.9235
1/24/2011,0.965849858,1,1,0,0,1,3.351119216,-3.13,-30.664297,9.82,4.27,4.42225,0.012491983,0,2133.7157,2309.9235,2235.7412
1/25/2011,0.970642056,1,1,0,0,0.965849858,3.133687923,-1.41,-2.803221,7.22,5.68,8.04609,0.032085427,0,2146.8098,2235.7412,2092.7209
1/26/2011,0.950674824,1,1,0,0,0.970642056,2.687005769,-2.6,-17.576,9.45,8.28,10.06009,1.818246353,0,2224.5431,2092.7209,1988.2628
1/27/2011,0.961823283,1,1,0,0,0.950674824,3.07408523,2.23,11.089567,10.74,6.05,7.10649,0.181411267,0,2244.3434,1988.2628,2025.2317
1/28/2011,0.945372575,1,1,0,0,0.961823283,3.277193922,1.29,2.146689,12.83,4.76,4.18609,0.086536506,0,2203.5763,2025.2317,1942.3233
1/29/2011,0.942252607,1,1,0,0,0.945372575,3.581898938,2.09,9.129329,13.82,2.67,1.48225,0.004797852,0,2245.5996,1942.3233,2080.1109
1/30/2011,1,1,1,0,0,0.942252607,3.717526059,0.99,0.970299,11.19,1.68,0.484,0.001749006,0,2309.9235,2080.1109,2276.0929
1/31/2011,0.965849858,1,1,0,0,1,3.345145737,-2.63,-18.191447,13.42,4.31,3.21489,0.075733506,0,2235.7412,2276.0929,2241.405
2/1/2011,0.970642056,0.872696512,1,0,0,0.965849858,3.663331817,2.23,11.089567,14.87,2.08,0.676,0.006075732,0,2092.7209,2241.405,2384.4889
2/2/2011,0.950674824,0.872696512,1,0,0,0.970642056,3.856163897,1.45,3.048625,15.3,0.63,0.63504,0.002601446,0,1988.2628,2384.4889,2332.8744
2/3/2011,0.961823283,0.872696512,1,0,0,0.950674824,3.911521443,0.43,0.079507,13.28,0.2,0.55225,0.014459006,0,2025.2317,2332.8744,2363.3998
2/4/2011,0.945372575,0.872696512,1,0,0,0.961823283,3.644173432,-2.02,-8.242408,9.06,2.22,0.58564,0.016649664,0,1942.3233,2363.3998,2319.092
2/5/2011,0.942252607,0.872696512,1,0,0,0.945372575,3.009983389,-4.22,-75.151448,11.38,6.44,7.056,0.399236365,0,2080.1109,2319.092,2286.4639
2/6/2011,1,0.872696512,1,0,0,0.942252607,3.373425559,2.32,12.487168,11.34,4.12,2.14369,0.1679616,0,2276.0929,2286.4639,2436.6889
2/7/2011,0.965849858,0.872696512,1,0,0,1,3.367491648,-0.04,-6.40E-05,12.61,4.16,2.84089,0.078861504,0,2241.405,2436.6889,2342.1964
2/8/2011,0.970642056,0.872696512,1,0,0,0.965849858,3.551056181,1.27,2.048383,10.54,2.89,1.64025,0.00895745,0,2384.4889,2342.1964,2335.0139
2/9/2011,0.950674824,0.872696512,1,0,0,0.970642056,3.246536616,-2.07,-8.869743,13.23,4.96,3.94384,0.173630694,0,2332.8744,2335.0139,2165.5285
2/10/2011,0.961823283,0.872696512,1,0,0,0.950674824,3.637306696,2.69,19.465109,15.39,2.27,1.31769,0.0006561,0,2363.3998,2165.5285,2314.76
2/11/2011,0.945372575,0.872696512,1,0,0,0.961823283,3.923009049,2.16,10.077696,14.46,0.11,0.441,0.012491983,0,2319.092,2314.76,2318.6388
2/12/2011,0.942252607,0.872696512,1,0,0,0.945372575,3.802630668,-0.93,-0.804357,13.86,1.04,1.296,0.005337948,0,2286.4639,2318.6388,2273.8998
2/13/2011,1,0.872696512,1,0,0,0.942252607,3.722902094,-0.6,-0.216,14.09,1.64,1.00489,1.00E-07,0,2436.6889,2273.8998,2395.297
