Date,c
1/10/2011,2061.7149
1/11/2011,2150.8303
1/12/2011,2128.7587
1/13/2011,2226.7445
1/14/2011,2194.1588
1/15/2011,2097.367
1/16/2011,2171.7733
1/17/2011,2133.7157
1/18/2011,2146.8098
1/19/2011,2224.5431
1/20/2011,2244.3434
1/21/2011,2203.5763
1/22/2011,2245.5996
1/23/2011,2309.9235
1/24/2011,2235.7412
1/25/2011,2092.7209
1/26/2011,1988.2628
1/27/2011,2025.2317
1/28/2011,1942.3233
1/29/2011,2080.1109
1/30/2011,2276.0929
1/31/2011,2241.405
2/1/2011,2384.4889
2/2/2011,2332.8744
2/3/2011,2363.3998
2/4/2011,2319.092
2/5/2011,2286.4639
2/6/2011,2436.6889
2/7/2011,2342.1964
2/8/2011,2335.0139
2/9/2011,2165.5285
2/10/2011,2314.76
2/11/2011,2318.6388
2/12/2011,2273.8998
2/13/2011,2395.297
2/14/2011,2362.9472
2/15/2011,2354.5824
2/16/2011,2387.6817
2/17/2011,2396.1946
2/18/2011,2296.3242
2/19/2011,2405.1397
2/20/2011,2447.5211
2/21/2011,2427.2234
2/22/2011,2441.0102
2/23/2011,2421.1539
2/24/2011,2441.8631
2/25/2011,2416.2803
2/26/2011,2440.4043
2/27/2011,2421.8734
2/28/2011,2404.8909
3/1/2011,2387.689
3/2/2011,2337.9371
3/3/2011,2289.6675
3/4/2011,2333.7236
3/5/2011,2278.713
3/6/2011,2219.104
3/7/2011,2105.6757
3/8/2011,2277.61
3/9/2011,2254.761
3/10/2011,2241.5809
3/11/2011,2047.2614
3/12/2011,1990.5193
3/13/2011,2108.7716
3/14/2011,1980.924
3/15/2011,2053.0554
3/16/2011,1776.2153
3/17/2011,1640.0294
3/18/2011,1430.2429
3/19/2011,1488.0001
3/20/2011,1309.3492
3/21/2011,1611.6729
3/22/2011,1649.5847
3/23/2011,1870.0103
3/24/2011,1878.8617
3/25/2011,1882.7684
3/28/2011,1223.8708
3/29/2011,1117.6562
3/30/2011,988.8884
3/31/2011,932.2469
4/1/2011,902.7297
4/3/2011,1494.8932
4/4/2011,1506.2631
4/5/2011,1522.6064
4/6/2011,1486.0101
4/7/2011,1484.3703
4/8/2011,1162.7715
4/9/2011,1329.8673
4/10/2011,1496.2719
4/11/2011,1277.3614
4/12/2011,1737.836
4/13/2011,1774.1812
4/14/2011,1348.782
4/15/2011,1090.4456
4/16/2011,1195.8669
4/17/2011,1357.6531
4/18/2011,1392.2241
4/19/2011,1022.1609
4/20/2011,1059.4834
4/21/2011,1125.3316
4/22/2011,1338.7949
4/23/2011,1130.5518
4/24/2011,957.4064
4/25/2011,1151.7909
4/26/2011,1127.6467
4/27/2011,1036.4593
4/28/2011,870.9835
4/29/2011,912.8617
4/30/2011,769.4661
5/1/2011,954.2112
5/2/2011,711.4057
5/3/2011,647.5705
5/4/2011,597.1896
5/5/2011,617.4812
5/6/2011,599.6127
5/7/2011,645.718
5/8/2011,769.0716
5/9/2011,706.8985
5/10/2011,607.9109
5/11/2011,543.4317
5/12/2011,596.227
5/13/2011,551.3838
5/14/2011,542.8807
5/15/2011,611.4735
5/16/2011,565.0119
5/17/2011,537.5877
5/18/2011,529.2798
5/19/2011,538.4424
5/20/2011,506.9664
5/21/2011,519.5628
5/22/2011,559.9822
5/23/2011,519.2599
5/24/2011,518.4573
5/25/2011,479.708
5/26/2011,509.6059
5/27/2011,469.2144
5/28/2011,468.4461
5/29/2011,504.1981
5/30/2011,475.8771
5/31/2011,476.8117
6/1/2011,463.8006
6/2/2011,441.2349
6/3/2011,447.4975
6/4/2011,457.2732
6/5/2011,496.8093
6/6/2011,455.9877
6/7/2011,451.4097
6/8/2011,470.2689
6/9/2011,461.9958
6/10/2011,450.2777
6/11/2011,447.5671
6/12/2011,478.1091
6/13/2011,456.0837
6/14/2011,463.5822
6/15/2011,460.1309
6/16/2011,445.7155
6/17/2011,401.2268
6/18/2011,399.774
6/19/2011,437.1604
6/20/2011,432.5087
6/21/2011,426.5994
6/22/2011,438.6074
6/23/2011,443.3494
6/24/2011,447.3278
6/25/2011,423.7843
6/26/2011,435.9408
6/27/2011,426.0977
6/28/2011,425.2785
6/29/2011,416.9061
6/30/2011,418.1885
7/1/2011,411.6457
7/2/2011,399.9819
7/3/2011,412.3493
7/4/2011,410.4024
7/5/2011,415.099
7/6/2011,410.7309
7/7/2011,397.4123
7/8/2011,398.2209
7/9/2011,381.9338
7/10/2011,401.9568
7/11/2011,401.9131
7/12/2011,384.7612
7/13/2011,398.4537
7/14/2011,387.3031
7/15/2011,385.628
7/16/2011,376.7852
7/17/2011,376.4797
7/18/2011,376.9498
7/19/2011,367.5735
7/20/2011,392.979
7/21/2011,392.6347
7/22/2011,379.4356
7/23/2011,361.6977
7/24/2011,378.3959
7/25/2011,372.1219
7/26/2011,369.0937
7/27/2011,362.7643
7/28/2011,359.1489
7/29/2011,347.8667
7/30/2011,324.0423
7/31/2011,341.725
8/1/2011,331.649
8/2/2011,340.4821
8/3/2011,350.7342
8/4/2011,350.7565
8/5/2011,344.0663
8/6/2011,342.9897
8/7/2011,360.446
8/8/2011,366.7821
8/9/2011,377.6423
8/10/2011,386.2599
8/11/2011,372.4292
8/12/2011,360.5459
8/13/2011,355.1702
8/14/2011,362.3278
8/15/2011,367.1908
8/16/2011,358.674
8/17/2011,367.2409
8/18/2011,385.5658
8/19/2011,357.3412
8/20/2011,351.2312
8/21/2011,362.9708
8/22/2011,376.5982
8/23/2011,378.0543
8/24/2011,384.2693
8/25/2011,392.6952
8/26/2011,398.0006
8/27/2011,419.6269
8/28/2011,411.8754
8/29/2011,413.1057
8/30/2011,431.1381
8/31/2011,423.015
9/1/2011,416.2386
9/2/2011,417.1291
9/3/2011,408.2905
9/4/2011,426.6362
9/5/2011,435.5667
9/6/2011,440.9102
9/7/2011,452.6444
9/8/2011,449.1224
9/9/2011,440.7814
9/10/2011,457.619
9/11/2011,481.5524
9/12/2011,478.8122
9/13/2011,464.6954
9/14/2011,490.6415
9/15/2011,428.5078
9/16/2011,427.8831
9/17/2011,433.6349
9/18/2011,468.9338
9/19/2011,458.9846
9/20/2011,472.6781
9/21/2011,474.1749
9/22/2011,470.4487
9/23/2011,452.9816
9/24/2011,461.7723
9/25/2011,504.4007
9/26/2011,471.5633
9/27/2011,493.2041
9/28/2011,508.1049
9/29/2011,484.4353
9/30/2011,487.6741
10/1/2011,520.0562
10/2/2011,577.7822
10/3/2011,581.6819
10/4/2011,631.3032
10/5/2011,640.6104
10/6/2011,582.6368
10/7/2011,592.6274
10/8/2011,555.8435
10/9/2011,595.5133
10/10/2011,552.712
10/11/2011,543.2988
10/12/2011,524.0239
10/13/2011,535.8506
10/14/2011,544.2272
10/15/2011,520.5114
10/16/2011,594.6245
10/17/2011,536.7913
10/18/2011,544.2641
10/19/2011,640.3648
10/20/2011,770.6198
10/21/2011,739.7718
10/22/2011,706.0085
10/23/2011,778.408
10/24/2011,720.5573
10/25/2011,775.0323
10/26/2011,942.4784
10/27/2011,1094.4907
10/28/2011,1136.1866
10/29/2011,1263.6843
10/30/2011,1329.6199
10/31/2011,1239.7668
11/1/2011,1226.3731
11/2/2011,1228.9342
11/3/2011,1249.498
11/4/2011,1284.1013
11/5/2011,1223.5518
11/6/2011,1457.6382
11/7/2011,1848.151
11/8/2011,2042.4987
11/9/2011,2114.9622
11/10/2011,2240.2302
11/11/2011,2126.6085
11/12/2011,2295.383
11/13/2011,2403.9467
11/14/2011,2462.3113
11/15/2011,2421.9706
11/16/2011,2403.0524
11/17/2011,2313.3132
11/18/2011,2133.6431
11/19/2011,2099.7628
11/20/2011,2164.0943
11/21/2011,2148.6285
11/22/2011,2170.9104
11/23/2011,2253.3638
11/24/2011,2382.4056
11/25/2011,2525.0098
11/26/2011,2569.6312
11/27/2011,2688.034
11/28/2011,2692.1057
11/29/2011,2608.6632
11/30/2011,2590.3334
12/1/2011,2662.1203
12/2/2011,2580.7224
12/3/2011,2510.4995
12/4/2011,2612.5333
12/5/2011,2661.4852
12/6/2011,2741.0581
12/7/2011,2689.409
12/8/2011,2678.7368
